epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.262,1.28253,0.9418,0.99206,0.3025,0.000299349,0.000299349,0.000299349
2,62.3359,0.28801,0.95503,1,0.13175,0.000582472,0.000582472,0.000582472
3,89.9611,0.12955,0.97884,1,0.07343,0.000845596,0.000845596,0.000845596
4,116.97,0.07362,0.97884,1,0.07154,0.000819009,0.000819009,0.000819009
5,142.967,0.07205,0.98677,1,0.04155,0.000789012,0.000789012,0.000789012
6,166.36,0.05427,0.99206,1,0.04477,0.000759015,0.000759015,0.000759015
7,210.519,0.04739,0.98413,1,0.05041,0.000729018,0.000729018,0.000729018
8,236.328,0.04974,0.99206,1,0.01646,0.000699021,0.000699021,0.000699021
9,268.042,0.03084,0.99471,1,0.01488,0.000669024,0.000669024,0.000669024
10,309.474,0.02934,0.99471,1,0.02614,0.000639027,0.000639027,0.000639027
11,352.074,0.02362,0.98942,1,0.02869,0.00060903,0.00060903,0.00060903
12,393.511,0.04148,0.99471,1,0.01802,0.000579033,0.000579033,0.000579033
13,434.172,0.0253,0.99735,1,0.00816,0.000549036,0.000549036,0.000549036
14,475.011,0.01839,0.99471,1,0.015,0.000519039,0.000519039,0.000519039
15,506.848,0.02703,0.99206,1,0.02095,0.000489042,0.000489042,0.000489042
16,538.277,0.02792,0.99206,1,0.02525,0.000459045,0.000459045,0.000459045
17,570.721,0.01705,0.98942,1,0.02294,0.000429048,0.000429048,0.000429048
18,612.165,0.01922,0.99471,1,0.01274,0.000399051,0.000399051,0.000399051
19,638.582,0.01989,0.99471,1,0.01029,0.000369054,0.000369054,0.000369054
20,661.252,0.01905,0.99735,1,0.00612,0.000339057,0.000339057,0.000339057
21,691.927,0.01529,0.99471,1,0.00771,0.00030906,0.00030906,0.00030906
22,731.412,0.00815,0.99471,1,0.01111,0.000279063,0.000279063,0.000279063
23,757.813,0.02204,0.99471,1,0.01376,0.000249066,0.000249066,0.000249066
24,780.828,0.0104,0.99471,1,0.00673,0.000219069,0.000219069,0.000219069
25,803.959,0.01491,0.99735,1,0.00601,0.000189072,0.000189072,0.000189072
26,826.138,0.01612,0.99471,1,0.00705,0.000159075,0.000159075,0.000159075
27,849.885,0.01101,0.99735,1,0.00565,0.000129078,0.000129078,0.000129078
28,873.74,0.01607,0.99735,1,0.00588,9.9081e-05,9.9081e-05,9.9081e-05
29,896.498,0.00793,0.99471,1,0.00794,6.9084e-05,6.9084e-05,6.9084e-05
30,920.085,0.01046,0.99735,1,0.00568,3.9087e-05,3.9087e-05,3.9087e-05
