epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.248,1.45926,4.18191,1.21149,0.00146,0.23097,0.02424,0.0157,1.09135,5.17875,0.95135,0.00034441,0.00034441,0.00034441
2,120.996,1.18703,2.56517,1.01115,0.00247,0.68218,0.45585,0.31155,0.99087,4.63553,0.96144,0.000686071,0.000686071,0.000686071
3,174.001,1.05063,1.96494,0.9981,0.94229,0.38083,0.599,0.433,0.95249,3.64707,0.96895,0.00101365,0.00101365,0.00101365
4,219.641,1.05539,1.72793,1.02455,0.92206,0.67869,0.84977,0.62383,0.99402,2.74879,1.04374,0.00104501,0.00104501,0.00104501
5,263.81,1.03755,1.66003,1.03297,0.89824,0.70869,0.86391,0.60077,1.11184,1.95244,1.12447,0.00102301,0.00102301,0.00102301
6,308.16,1.01195,1.38337,1.02777,0.93387,0.76032,0.97232,0.69047,1.0713,1.71006,1.10977,0.00100101,0.00100101,0.00100101
7,351.728,0.9736,1.34184,1.01948,0.9303,0.75944,0.90738,0.63071,1.03181,1.59595,1.0723,0.000979013,0.000979013,0.000979013
8,400.55,1.00047,1.20504,1.02235,0.87543,0.89635,0.91891,0.6798,0.9638,1.46839,1.04241,0.000957015,0.000957015,0.000957015
9,443.836,0.95814,1.05653,1.0035,0.94363,0.95104,0.97956,0.75174,0.87904,1.22139,1.01365,0.000935018,0.000935018,0.000935018
10,487.226,0.95646,0.98336,1.0227,0.94154,0.97736,0.98312,0.73732,0.91642,1.13276,1.04314,0.00091302,0.00091302,0.00091302
11,532.095,0.93061,0.91178,0.9939,0.95942,0.97941,0.99146,0.75776,0.93458,1.01963,1.01859,0.000891022,0.000891022,0.000891022
12,584.712,0.92274,0.88214,0.99251,0.92918,0.9875,0.98685,0.74817,0.94747,0.97419,1.03531,0.000869024,0.000869024,0.000869024
13,639.765,0.88095,0.82721,0.98157,0.9426,0.96797,0.97987,0.73954,0.94486,0.91316,1.01336,0.000847026,0.000847026,0.000847026
14,688.208,0.92023,0.80605,0.98182,0.96502,0.95835,0.9847,0.75215,0.97308,0.90132,1.04757,0.000825029,0.000825029,0.000825029
15,741.993,0.87438,0.77053,0.96253,0.93001,0.98169,0.98439,0.73091,1.00171,0.87531,1.03132,0.000803031,0.000803031,0.000803031
16,797.956,0.88903,0.73308,0.96154,0.9302,0.976,0.98812,0.75499,0.98369,0.85802,1.05185,0.000781033,0.000781033,0.000781033
